_join_year,player_name_clean_nfl,school_clean_nfl,position_nfl,pfr_player_id,gsis_id,player_id,player_name_clean_jack,school_clean_jack,position_jack,name_norm
1981,Lawrence Taylor,North Carolina,LB,TaylLa00,00-0016128,18001,Lawrence Taylor,North Carolina,Linebacker,lawrence taylor
1981,Freeman McNeil,UCLA,RB,McNeFr00,00-0011035,18002,Freeman McNeil,UCLA,Running Back,freeman mcneil
1981,Kenny Easley,UCLA,DB,EaslKe00,EAS083058,18003,Kenny Easley,UCLA,Defensive Back,kenny easley
1981,E.J. Junior,Alabama,LB,JuniE.00,00-0008959,18004,E.J. Junior,Alabama,Linebacker,e j junior
1981,Rich Campbell,California,QB,CampRi00,CAM579450,18005,Rich Campbell,California,Quarterback,rich campbell
1981,Hugh Green,Pittsburgh,LB,GreeHu00,00-0006329,18006,Hugh Green,Pittsburgh,Linebacker,hugh green
1981,Ronnie Lott,USC,DB,LottRo00,00-0010088,18007,Ronnie Lott,USC,Defensive Back,ronnie lott
1981,Mel Owens,Michigan,LB,OwenMe20,OWE664460,18008,Mel Owens,Michigan,Linebacker,mel owens
1981,David Verser,Kansas,WR,VersDa00,VER646009,18009,David Verser,Kansas,Wide Receiver,david verser
1981,Keith Van Horne,USC,T,VanHKe20,00-0016823,18010,Keith Van Horne,USC,Offensive Tackle,keith van horne
1981,Randy McMillan,Pittsburgh,RB,McMiRa00,MCM498345,18011,Randy McMillan,Pittsburgh,Running Back,randy mcmillan
1981,David Overstreet,Oklahoma,RB,OverDa00,OVE332232,18012,David Overstreet,Oklahoma,Running Back,david overstreet
1981,Willie Scott,South Carolina,TE,ScotWi00,SCO775194,18013,Willie Scott,South Carolina,Tight End,willie scott
1981,Dennis Smith,USC,DB,SmitDe01,00-0015146,18014,Dennis Smith,USC,Defensive Back,dennis smith
1981,Mark Nichols,San Jose St.,WR,NichMa00,NIC315040,18015,Mark Nichols,San Jose State,Wide Receiver,mark nichols
1981,Keith Gary,Oklahoma,DE,GaryKe20,GAR752208,18016,Keith Gary,Oklahoma,Defensive End,keith gary
1981,Donnell Thompson,North Carolina,DE,ThomDo25,00-0016375,18017,Donnell Thompson,North Carolina,Defensive End,donnell thompson
1981,Brian Holloway,Stanford,T,HollBr00,HOL322296,18018,Brian Holloway,Stanford,Offensive Tackle,brian holloway
1981,Mark May,Pittsburgh,G,MayxMa00,00-0010591,18019,Mark May,Pittsburgh,Offensive Tackle,mark may
1981,Ted Watts,Texas Tech,DB,WattTe20,WAT808709,18020,Ted Watts,Texas Tech,Defensive Back,ted watts
1981,Hanford Dixon,Southern Miss,DB,DixoHa00,DIX255564,18021,Hanford Dixon,Southern Miss,Defensive Back,hanford dixon
1981,Curt Marsh,Washington,G,MarsCu20,MAR340752,18022,Curt Marsh,Washington,Offensive Guard,curt marsh
1981,James Brooks,Auburn,RB,BrooJa00,00-0001837,18023,James Brooks,Auburn,Running Back,james brooks
1981,Bobby Butler,Florida St.,DB,ButlBo21,00-0002401,18024,Bobby Butler,Florida State,Defensive Back,bobby butler
1981,Howard Richards,Missouri,G,RichHo20,RIC257760,18025,Howard Richards,Missouri,Offensive Tackle,howard richards
1981,Leonard Mitchell,Houston,DE,MitcLe20,MIT404064,18026,Leonard Mitchell,Houston,Defensive End,leonard mitchell
1981,Booker Moore,Penn St.,RB,MoorBo00,MOO196095,18027,Booker Moore,Penn State,Running Back,booker moore
1981,Russell Gary,Nebraska,DB,GaryRu20,GAR767879,18028,Russell Gary,Nebraska,Defensive Back,russell gary
1981,Marion Barber Jr.,Minnesota,RB,BarbMa00,BAR059320,18029,Marion Barber,Minnesota,Running Back,marion barber
1981,David Hughes,Boise St.,RB,HughDa01,HUG264271,18030,David Hughes,Boise State,Running Back,david hughes
1981,Dave Young,Purdue,TE,YounDa00,YOU174852,18031,Dave Young,Purdue,Tight End,dave young
1981,Neil Lomax,Portland St.,QB,LomaNe00,LOM692150,18032,Neil Lomax,Portland State,Quarterback,neil lomax
1981,James Wilder,Missouri,RB,WildJa00,WIL045234,18033,James Wilder,Missouri,Running Back,james wilder
1981,Gary Lewis,Texas-Arlington,TE,LewiGa00,LEW328757,18034,Gary Lewis,Texas-Arlington,Tight End,gary lewis
1981,John Harty,Iowa,NT,HartJo20,HAR761631,18035,John Harty,Iowa,Defensive Tackle,john harty
1981,Cris Collinsworth,Florida,WR,CollCr00,COL717780,18036,Cris Collinsworth,Florida,Wide Receiver,cris collinsworth
1981,Mike Singletary,Baylor,LB,SingMi00,00-0014988,18037,Mike Singletary,Baylor,Linebacker,mike singletary
1981,Mardye McDole,Mississippi St.,WR,McDoMa20,MCD217525,18038,Mardye McDole,Mississippi State,Wide Receiver,mardye mcdole
1981,Eric Wright,Missouri,DB,WrigEr00,WRI201352,18039,Eric Wright,Missouri,Defensive Back,eric wright
1981,Joe Delaney,Northwestern St. (LA),RB,DelaJo00,DEL159725,18040,Joe Delaney,Northwestern State,Running Back,joe delaney
1981,Clay Brown,BYU,TE,BrowCl20,BRO351900,18041,Clay Brown,BYU,Tight End,clay brown
1981,Jim Collins,Syracuse,LB,CollJi01,COL604986,18042,Jim Collins,Syracuse,Linebacker,jim collins
1981,Anthony Washington,Fresno St.,DB,WashAn20,WAS042594,18043,Anthony Washington,Fresno State,Defensive Back,anthony washington
1981,Robin Sendlein,Texas,LB,SendRo20,SEN118654,18044,Robin Sendlein,Texas,Linebacker,robin sendlein
1981,Curtis Green,Alabama St.,DE,GreeCu20,GRE143190,18045,Curtis Green,Alabama State,Defensive End,curtis green
1981,Tony Collins,East Carolina,RB,CollTo01,COL512700,18046,Tony Collins,East Carolina,Running Back,tony collins
1981,Howie Long,Villanova,DE,LongHo00,LON314272,18047,Howie Long,Villanova,Defensive Tackle,howie long
1981,Chris Williams,LSU,DB,WillCh23,WIL187398,18048,Chris Williams,LSU,Defensive Back,chris williams
1981,Byron Franklin,Auburn,WR,FranBy00,FRA408673,18049,Byron Franklin,Auburn,Wide Receiver,byron franklin
1981,Rickey Jackson,Pittsburgh,LB,JackRi01,00-0008179,18050,Rickey Jackson,Pittsburgh,Linebacker,rickey jackson
1981,Jarvis Redwine,Nebraska,RB,RedwJa00,RED766692,18051,Jarvis Redwine,Nebraska,Running Back,jarvis redwine
1981,Doug Donley,Ohio St.,WR,DonlDo00,DON415285,18052,Doug Donley,Ohio State,Wide Receiver,doug donley
1981,Lyman White,LSU,LB,WhitLy20,WHI354616,18053,Lyman White,LSU,Linebacker,lyman white
1981,Dean Miraldi,Utah,T,MiraDe20,MIR415290,18054,Dean Miraldi,Utah,Offensive Guard,dean miraldi
1981,Andra Franklin,Nebraska,RB,FranAn00,FRA369124,18055,Andra Franklin,Nebraska,Running Back,andra franklin
1981,Frank Warren,Auburn,DE,WarrFr20,00-0017213,18056,Frank Warren,Auburn,Defensive End,frank warren
1981,Bill Dugan,Penn St.,G,DugaBi20,DUG311466,18057,Bill Dugan,Penn State,Offensive Guard,bill dugan
1981,John Mistler,Arizona St.,WR,MistJo00,MIS664464,18058,John Mistler,Arizona State,Wide Receiver,john mistler
1981,Ben Rudolph,Long Beach St.,DT,RudoBe20,RUD311466,18059,Ben Rudolph,Long Beach State,Defensive Tackle,ben rudolph
1981,Jeff Griffin,Utah,DB,GrifJe20,GRI151008,18060,Jeff Griffin,Utah,Defensive Back,jeff griffin
1981,Ray Stachowicz,Michigan St.,P,StacRa20,STA040848,18061,Ray Stachowicz,Michigan State,Punter,ray stachowicz
1981,Greg Meisner,Pittsburgh,NT,MeisGr20,00-0011102,18062,Greg Meisner,Pittsburgh,Defensive Tackle,greg meisner
1981,John Simmons,SMU,DB,SimmJo20,SIM243294,18063,John Simmons,SMU,Defensive Back,john simmons
1981,Carlton Williamson,Pittsburgh,DB,WillCa01,WIL578349,18064,Carlton Williamson,Pittsburgh,Defensive Back,carlton williamson
1981,Robert Cobb,Arizona,DE,CobbRo20,COB453042,18065,Robert Cobb,Arizona,Defensive End,robert cobb
1981,Ken Margerum,Stanford,WR,MargKe00,MAR127782,18066,Ken Margerum,Stanford,Wide Receiver,ken margerum
1981,Randy Van Divier,Washington,T,VanDRa20,VAN475897,18067,Randy Van Divier,Washington,Offensive Tackle,randy van divier
